ReservationId,GuestId,Hotel,Reservation Status,Source,Source,BookingDateTime,ArrivalDate,DepartureDate,ActualArrivalDateTime,ActualDepartureDateTime,NumberOfPersons
1,5137759,Hotel1,Checked Out,WEB,Website,03/10/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
2,5157084,Hotel1,Checked Out,OTA,Online Travel Agency,06/10/2018,07/10/2018,09/10/2018,07/10/2018,09/10/2018,2
3,2984377,Hotel2,Checked Out,WEB,Website,18/11/2017,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
4,464536,Hotel1,Checked Out,WEB,Website,12/01/2018,07/10/2018,08/10/2018,07/10/2018,08/10/2018,2
5,3268075,Hotel1,Cancelled,OTA,Online Travel Agency,13/01/2018,02/10/2018,03/10/2018,NULL,NULL,2
6,26017,Hotel1,Checked Out,WEB,Website,13/01/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
7,3194821,Hotel1,Checked Out,WEB,Website,15/01/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,1
8,3194986,Hotel1,Checked Out,WEB,Website,15/01/2018,05/10/2018,06/10/2018,05/10/2018,06/10/2018,2
9,3197869,Hotel1,Cancelled,OTA,Online Travel Agency,16/01/2018,05/10/2018,06/10/2018,NULL,NULL,2
10,685161,Hotel1,Checked Out,WEB,Website,17/01/2018,07/10/2018,08/10/2018,07/10/2018,08/10/2018,2
11,3208374,Hotel2,Cancelled,OTA,Online Travel Agency,19/01/2018,03/10/2018,04/10/2018,NULL,NULL,1
12,3208377,Hotel2,Cancelled,OTA,Online Travel Agency,19/01/2018,03/10/2018,04/10/2018,NULL,NULL,1
13,3208378,Hotel2,Cancelled,OTA,Online Travel Agency,19/01/2018,03/10/2018,04/10/2018,NULL,NULL,1
14,441990,Hotel1,Checked Out,WEB,Website,20/01/2018,01/10/2018,02/10/2018,01/10/2018,02/10/2018,2
15,3214452,Hotel1,Checked Out,WEB,Website,21/01/2018,06/10/2018,08/10/2018,06/10/2018,08/10/2018,2
16,5129074,Hotel1,Checked Out,OTA,Online Travel Agency,22/01/2018,01/10/2018,02/10/2018,01/10/2018,02/10/2018,2
17,333931,Hotel1,Cancelled,WEB,Website,23/01/2018,02/10/2018,03/10/2018,NULL,NULL,2
18,1860133,Hotel1,Cancelled,WEB,Website,24/01/2018,01/10/2018,02/10/2018,NULL,NULL,2
19,3225697,Hotel2,Checked Out,WEB,Website,24/01/2018,07/10/2018,08/10/2018,07/10/2018,08/10/2018,2
20,2720691,Hotel1,Checked Out,WEB,Website,26/01/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,2
21,3238683,Hotel1,Checked Out,WEB,Website,27/01/2018,01/10/2018,02/10/2018,01/10/2018,02/10/2018,1
22,3239925,Hotel1,Checked Out,WEB,Website,28/01/2018,06/10/2018,08/10/2018,06/10/2018,08/10/2018,2
23,5158197,Hotel1,Checked Out,OTA,Online Travel Agency,30/01/2018,07/10/2018,08/10/2018,07/10/2018,08/10/2018,2
24,5158234,Hotel1,Checked Out,OTA,Online Travel Agency,30/01/2018,07/10/2018,08/10/2018,07/10/2018,08/10/2018,1
25,5143315,Hotel2,Checked Out,OTA,Online Travel Agency,01/02/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
26,3255117,Hotel2,Checked Out,OTA,Online Travel Agency,01/02/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
27,3255121,Hotel2,Checked Out,OTA,Online Travel Agency,01/02/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
28,3255126,Hotel2,Checked Out,OTA,Online Travel Agency,01/02/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
29,3255123,Hotel2,Checked Out,OTA,Online Travel Agency,01/02/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
30,3255127,Hotel2,Cancelled,OTA,Online Travel Agency,01/02/2018,06/10/2018,07/10/2018,NULL,NULL,2
31,3255129,Hotel2,Checked Out,OTA,Online Travel Agency,01/02/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
32,3255130,Hotel2,Cancelled,OTA,Online Travel Agency,01/02/2018,06/10/2018,07/10/2018,NULL,NULL,2
33,3255133,Hotel2,Checked Out,OTA,Online Travel Agency,01/02/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
34,3255132,Hotel2,Cancelled,OTA,Online Travel Agency,01/02/2018,06/10/2018,07/10/2018,06/10/2018,06/10/2018,2
35,3262158,Hotel1,Cancelled,WEB,Website,02/02/2018,05/10/2018,06/10/2018,NULL,NULL,2
36,3265696,Hotel1,Cancelled,OTA,Online Travel Agency,03/02/2018,02/10/2018,03/10/2018,NULL,NULL,2
37,3265696,Hotel1,Cancelled,OTA,Online Travel Agency,03/02/2018,02/10/2018,03/10/2018,NULL,NULL,2
38,2349273,Hotel2,Checked Out,WEB,Website,05/02/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
39,2349273,Hotel2,Checked Out,WEB,Website,05/02/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
40,2349273,Hotel2,Checked Out,WEB,Website,05/02/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
41,2349273,Hotel2,Checked Out,WEB,Website,05/02/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
42,2349273,Hotel2,Checked Out,WEB,Website,05/02/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
43,2349273,Hotel2,Checked Out,WEB,Website,05/02/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
44,2349273,Hotel2,Checked Out,WEB,Website,05/02/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
45,265560,Hotel1,Cancelled,WEB,Website,10/02/2018,07/10/2018,08/10/2018,NULL,NULL,2
46,847447,Hotel1,Cancelled,WEB,Website,12/02/2018,01/10/2018,02/10/2018,NULL,NULL,1
47,398232,Hotel2,Cancelled,WEB,Website,18/02/2018,05/10/2018,06/10/2018,NULL,NULL,2
48,3330607,Hotel2,Cancelled,OTA,Online Travel Agency,18/02/2018,05/10/2018,07/10/2018,NULL,NULL,2
49,3330609,Hotel2,Cancelled,OTA,Online Travel Agency,18/02/2018,05/10/2018,07/10/2018,NULL,NULL,2
50,3330610,Hotel2,Cancelled,OTA,Online Travel Agency,18/02/2018,05/10/2018,07/10/2018,NULL,NULL,2
51,2051878,Hotel1,Checked Out,WEB,Website,19/02/2018,02/10/2018,03/10/2018,02/10/2018,03/10/2018,1
52,247177,Hotel1,Checked Out,WEB,Website,22/02/2018,02/10/2018,03/10/2018,02/10/2018,03/10/2018,1
53,247177,Hotel1,Checked Out,WEB,Website,22/02/2018,02/10/2018,03/10/2018,02/10/2018,03/10/2018,2
54,3353830,Hotel1,Checked Out,WEB,Website,24/02/2018,05/10/2018,06/10/2018,05/10/2018,06/10/2018,2
55,5153995,Hotel2,Checked Out,OTA,Online Travel Agency,27/02/2018,06/10/2018,09/10/2018,06/10/2018,09/10/2018,2
56,22965,Hotel1,Cancelled,WEB,Website,02/03/2018,01/10/2018,03/10/2018,NULL,NULL,1
57,3382663,Hotel2,Cancelled,OTA,Online Travel Agency,04/03/2018,03/10/2018,05/10/2018,NULL,NULL,1
58,5123412,Hotel1,Checked Out,OTA,Online Travel Agency,08/03/2018,02/10/2018,03/10/2018,02/10/2018,03/10/2018,2
59,5147103,Hotel1,Checked Out,OTA,Online Travel Agency,09/03/2018,05/10/2018,06/10/2018,05/10/2018,06/10/2018,2
60,5158552,Hotel1,Cancelled,OTA,Online Travel Agency,11/03/2018,07/10/2018,08/10/2018,NULL,NULL,2
61,5143054,Hotel1,Checked Out,OTA,Online Travel Agency,12/03/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,2
62,3415762,Hotel2,Cancelled,OTA,Online Travel Agency,13/03/2018,05/10/2018,07/10/2018,NULL,NULL,1
63,3415869,Hotel2,Cancelled,OTA,Online Travel Agency,13/03/2018,05/10/2018,07/10/2018,NULL,NULL,2
64,3415876,Hotel2,Cancelled,OTA,Online Travel Agency,13/03/2018,05/10/2018,07/10/2018,NULL,NULL,2
65,3415879,Hotel2,Cancelled,OTA,Online Travel Agency,13/03/2018,05/10/2018,07/10/2018,NULL,NULL,2
66,3415884,Hotel2,Cancelled,OTA,Online Travel Agency,13/03/2018,05/10/2018,07/10/2018,NULL,NULL,2
67,308574,Hotel1,Checked Out,WEB,Website,13/03/2018,01/10/2018,02/10/2018,01/10/2018,02/10/2018,1
68,3421605,Hotel1,Checked Out,OTA,Online Travel Agency,14/03/2018,01/10/2018,02/10/2018,01/10/2018,02/10/2018,2
69,1658170,Hotel1,Cancelled,WEB,Website,15/03/2018,06/10/2018,07/10/2018,NULL,NULL,2
70,5143020,Hotel1,Checked Out,OTA,Online Travel Agency,15/03/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,1
71,5155008,Hotel1,Checked Out,OTA,Online Travel Agency,17/03/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
72,3438303,Hotel1,Cancelled,OTA,Online Travel Agency,19/03/2018,06/10/2018,07/10/2018,NULL,NULL,2
73,5153271,Hotel1,Checked Out,OTA,Online Travel Agency,19/03/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
74,252475,Hotel1,Cancelled,WEB,Website,26/03/2018,05/10/2018,06/10/2018,NULL,NULL,1
75,5155032,Hotel2,Checked Out,OTA,Online Travel Agency,28/03/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
76,5155036,Hotel2,Checked Out,OTA,Online Travel Agency,28/03/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
77,5155038,Hotel2,Checked Out,OTA,Online Travel Agency,28/03/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
78,3522363,Hotel1,Cancelled,OTA,Online Travel Agency,29/03/2018,01/10/2018,02/10/2018,NULL,NULL,2
79,3525283,Hotel2,Cancelled,OTA,Online Travel Agency,30/03/2018,02/10/2018,05/10/2018,NULL,NULL,2
80,5139187,Hotel2,Checked Out,OTA,Online Travel Agency,31/03/2018,03/10/2018,04/10/2018,03/10/2018,04/10/2018,2
81,3528927,Hotel2,Checked Out,OTA,Online Travel Agency,02/04/2018,01/10/2018,04/10/2018,01/10/2018,04/10/2018,1
82,5141506,Hotel2,Checked Out,OTA,Online Travel Agency,02/04/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
83,3533217,Hotel2,Cancelled,OTA,Online Travel Agency,02/04/2018,04/10/2018,07/10/2018,NULL,NULL,2
84,3534531,Hotel2,Checked Out,OTA,Online Travel Agency,03/04/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
85,5124981,Hotel1,Checked Out,OTA,Online Travel Agency,03/04/2018,02/10/2018,03/10/2018,02/10/2018,03/10/2018,2
86,3560490,Hotel2,Cancelled,OTA,Online Travel Agency,09/04/2018,06/10/2018,07/10/2018,NULL,NULL,2
87,5151043,Hotel2,Checked Out,OTA,Online Travel Agency,12/04/2018,05/10/2018,06/10/2018,05/10/2018,06/10/2018,2
88,3572433,Hotel2,Checked Out,WEB,Website,12/04/2018,07/10/2018,13/10/2018,07/10/2018,13/10/2018,1
89,3572881,Hotel2,Cancelled,OTA,Online Travel Agency,13/04/2018,01/10/2018,04/10/2018,NULL,NULL,2
90,854649,Hotel1,Checked Out,WEB,Website,16/04/2018,05/10/2018,08/10/2018,05/10/2018,08/10/2018,2
91,81925,Hotel1,Cancelled,WEB,Website,17/04/2018,06/10/2018,07/10/2018,NULL,NULL,2
92,3977922,Hotel1,Checked Out,OTA,Online Travel Agency,19/04/2018,05/10/2018,06/10/2018,05/10/2018,06/10/2018,2
