Reservation Id,Invoice Line Id,Revenue Group,Description,Quantity,Total,Vat (already included in Total),Posting Date
1,1,Room revenue,Room Rental Charge,1,119,6.73,06/10/2018
1,2,City Tax,City Tax,1,6.79,0,06/10/2018
2,1,Room revenue,Room Rental Charge,1,129,7.3,07/10/2018
2,2,City Tax,City Tax,1,7.36,0,07/10/2018
2,3,Food & Beverage,Beverage Low,1,0,0,07/10/2018
2,4,Food & Beverage,Breakfast prebooked,1,0,0,08/10/2018
2,5,Room revenue,Room Rental Charge,1,129,7.3,08/10/2018
2,6,City Tax,City Tax,1,7.36,0,08/10/2018
2,7,Food & Beverage,Breakfast prebooked,1,0,0,08/10/2018
3,1,Reservation Upgrades,Discount Breakfast prebooked,2,-27.9,-1.57,06/10/2018
3,2,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,06/10/2018
4,1,Room revenue,Room Rental Charge,1,105.3,5.96,07/10/2018
4,2,City Tax,City Tax,1,6.01,0,07/10/2018
4,3,Food & Beverage,Beverage low,2,0,0,07/10/2018
4,4,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,08/10/2018
6,1,Room revenue,Room Rental Charge,1,119.7,6.77,06/10/2018
6,2,City Tax,City Tax,1,6.83,0,06/10/2018
6,3,Food & Beverage,Beverage low,2,0,0,06/10/2018
7,1,Room revenue,Room Rental Charge,1,119.7,6.77,06/10/2018
7,2,City Tax,City Tax,1,6.83,0,06/10/2018
8,1,Room revenue,Room Rental Charge,1,125.1,7.08,05/10/2018
8,2,City Tax,City Tax,1,7.14,0,05/10/2018
8,3,Reservation Upgrades,Early Checkin,1,29,1.64,05/10/2018
10,1,Room revenue,Room Rental Charge,1,116.1,6.57,07/10/2018
10,2,City Tax,City Tax,1,6.63,0,07/10/2018
14,1,Room revenue,Room Rental Charge,1,132.3,7.48,01/10/2018
14,2,City Tax,City Tax,1,7.55,0,01/10/2018
15,1,Room revenue,Room Rental Charge,1,119.7,6.77,06/10/2018
15,2,City Tax,City Tax,1,6.83,0,06/10/2018
15,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,07/10/2018
15,4,Room revenue,Room Rental Charge,1,105.3,5.96,07/10/2018
15,5,City Tax,City Tax,1,6.01,0,07/10/2018
15,6,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,08/10/2018
16,1,Room revenue,Room Rental Charge,1,154,8.71,01/10/2018
16,2,City Tax,City Tax,1,8.79,0,01/10/2018
19,1,Food & Beverage,Lemonaid Blood Orange,1,3.5,0.19,07/10/2018
19,2,Food & Beverage,Lemonaid Lime,1,3.5,0.19,07/10/2018
19,3,Room revenue,Room Rental Charge,1,71.1,4.02,07/10/2018
19,4,City Tax,City Tax,1,3.02,0,07/10/2018
19,5,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,08/10/2018
20,1,Room revenue,Room Rental Charge,1,136.8,7.74,04/10/2018
20,2,City Tax,City Tax,1,7.81,0,04/10/2018
21,1,Room revenue,Room Rental Charge,1,154,8.71,01/10/2018
21,2,City Tax,City Tax,1,8.79,0,01/10/2018
21,3,Reservation Upgrades,Breakfast prebooked,1,13.95,0.78,02/10/2018
22,1,Room revenue,Room Rental Charge,1,119.7,6.77,06/10/2018
22,2,City Tax,City Tax,1,6.83,0,06/10/2018
22,3,Room revenue,Room Rental Charge,1,113.4,6.41,07/10/2018
22,4,City Tax,City Tax,1,6.47,0,07/10/2018
23,1,Room revenue,Room Rental Charge,1,139,7.86,07/10/2018
23,2,City Tax,City Tax,1,7.93,0,07/10/2018
24,1,Room revenue,Room Rental Charge,1,139,7.86,07/10/2018
24,2,City Tax,City Tax,1,7.93,0,07/10/2018
25,1,Room revenue,Room Rental Charge,1,89.1,5.04,06/10/2018
25,2,City Tax,City Tax,1,3.78,0,06/10/2018
25,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,07/10/2018
26,1,Room revenue,Room Rental Charge,1,89.1,5.04,06/10/2018
26,2,City Tax,City Tax,1,3.78,0,06/10/2018
26,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,07/10/2018
27,1,Room revenue,Room Rental Charge,1,89.1,5.04,06/10/2018
27,2,City Tax,City Tax,1,3.78,0,06/10/2018
27,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,07/10/2018
28,1,Room revenue,Room Rental Charge,1,89.1,5.04,06/10/2018
28,2,City Tax,City Tax,1,3.78,0,06/10/2018
28,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,07/10/2018
29,1,Room revenue,Room Rental Charge,1,89.1,5.04,06/10/2018
29,2,City Tax,City Tax,1,3.78,0,06/10/2018
29,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,07/10/2018
31,1,Room revenue,Room Rental Charge,1,89.1,5.04,06/10/2018
31,2,City Tax,City Tax,1,3.78,0,06/10/2018
31,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,07/10/2018
33,1,Room revenue,Room Rental Charge,1,89.1,5.04,06/10/2018
33,2,City Tax,City Tax,1,3.78,0,06/10/2018
33,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,07/10/2018
38,1,Room revenue,Room Rental Charge,1,71.1,4.02,05/10/2018
38,2,City Tax,City Tax,1,3.02,0,05/10/2018
38,3,Room revenue,Room Rental Charge,1,93.6,5.29,06/10/2018
38,4,City Tax,City Tax,1,3.97,0,06/10/2018
39,1,Room revenue,Room Rental Charge,1,71.1,4.02,05/10/2018
39,2,City Tax,City Tax,1,3.02,0,05/10/2018
39,3,Room revenue,Room Rental Charge,1,93.6,5.29,06/10/2018
39,4,City Tax,City Tax,1,3.97,0,06/10/2018
40,1,Room revenue,Room Rental Charge,1,71.1,4.02,05/10/2018
40,2,City Tax,City Tax,1,3.02,0,05/10/2018
40,3,Room revenue,Room Rental Charge,1,93.6,5.29,06/10/2018
40,4,City Tax,City Tax,1,3.97,0,06/10/2018
41,1,Room revenue,Room Rental Charge,1,71.1,4.02,05/10/2018
41,2,City Tax,City Tax,1,3.02,0,05/10/2018
41,3,Food & Beverage,Tea bag,2,5.5,0.31,06/10/2018
41,4,Room revenue,Room Rental Charge,1,93.6,5.29,06/10/2018
41,5,City Tax,City Tax,1,3.97,0,06/10/2018
42,1,Room revenue,Room Rental Charge,1,71.1,4.02,05/10/2018
42,2,City Tax,City Tax,1,3.02,0,05/10/2018
42,3,Food & Beverage,Tea bag,1,2.75,0.15,06/10/2018
42,4,Food & Beverage,Americano,2,6.5,0.36,06/10/2018
42,5,Food & Beverage,Cappuccino,2,6,0.33,06/10/2018
42,6,Food & Beverage,Tea fresh,2,7,0.39,06/10/2018
42,7,Food & Beverage,Coca Cola diet 0.2ml,1,2.25,0.12,06/10/2018
42,8,Food & Beverage,Hennessy Fine de Cognac VSOP 50ml,1,9.5,1.64,06/10/2018
42,9,Food & Beverage,JeNIUS Rioja gl,1,5.95,1.03,06/10/2018
42,10,Room revenue,Room Rental Charge,1,93.6,5.29,06/10/2018
42,11,City Tax,City Tax,1,3.97,0,06/10/2018
43,1,Room revenue,Room Rental Charge,1,71.1,4.02,05/10/2018
43,2,City Tax,City Tax,1,3.02,0,05/10/2018
43,3,Room revenue,Room Rental Charge,1,93.6,5.29,06/10/2018
43,4,City Tax,City Tax,1,3.97,0,06/10/2018
44,1,Room revenue,Room Rental Charge,1,71.1,4.02,05/10/2018
44,2,City Tax,City Tax,1,3.02,0,05/10/2018
44,3,Room revenue,Room Rental Charge,1,93.6,5.29,06/10/2018
44,4,City Tax,City Tax,1,3.97,0,06/10/2018
51,1,Room revenue,Room Rental Charge,1,147.6,8.35,02/10/2018
51,2,City Tax,City Tax,1,8.42,0,02/10/2018
52,1,Room revenue,Room Rental Charge,1,147.6,8.35,02/10/2018
52,2,City Tax,City Tax,1,8.42,0,02/10/2018
52,3,Reservation Upgrades,Breakfast prebooked,1,13.95,0.78,03/10/2018
53,1,Room revenue,Room Rental Charge,1,147.6,8.35,02/10/2018
53,2,City Tax,City Tax,1,8.42,0,02/10/2018
53,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,03/10/2018
54,1,Food & Beverage,Montes Chardonnay gl,1,6.5,1.12,05/10/2018
54,2,Food & Beverage,Pedales Tempranillo gl,1,4,0.69,05/10/2018
54,3,Food & Beverage,Montes Chardonnay gl,1,6.5,1.12,05/10/2018
54,4,Food & Beverage,Pedales Tempranillo gl,1,4,0.69,05/10/2018
54,5,Food & Beverage,Sushi set M,1,8.95,0.5,05/10/2018
54,6,Food & Beverage,Montes Chardonnay gl,1,6.5,1.12,05/10/2018
54,7,Food & Beverage,Pedales Tempranillo gl,1,4,0.69,05/10/2018
54,8,Food & Beverage,Courgetti Chicken,1,9.5,0.53,05/10/2018
54,9,Room revenue,Room Rental Charge,1,139,7.86,05/10/2018
54,10,City Tax,City Tax,1,7.93,0,05/10/2018
55,1,Room revenue,Room Rental Charge,1,93.6,5.29,06/10/2018
55,2,City Tax,City Tax,1,3.97,0,06/10/2018
55,3,Room revenue,Room Rental Charge,1,71.1,4.02,07/10/2018
55,4,City Tax,City Tax,1,3.02,0,07/10/2018
55,5,Room revenue,Room Rental Charge,1,98.1,5.55,08/10/2018
55,6,City Tax,City Tax,1,4.16,0,08/10/2018
58,1,Room revenue,Room Rental Charge,1,164,9.28,02/10/2018
58,2,City Tax,City Tax,1,9.36,0,02/10/2018
58,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,03/10/2018
59,1,Room revenue,Room Rental Charge,1,139,7.86,05/10/2018
59,2,City Tax,City Tax,1,7.93,0,05/10/2018
61,1,Room revenue,Room Rental Charge,1,152,8.6,04/10/2018
61,2,City Tax,City Tax,1,8.68,0,04/10/2018
61,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,05/10/2018
67,1,Room revenue,Room Rental Charge,1,138.6,7.84,01/10/2018
67,2,City Tax,City Tax,1,7.91,0,01/10/2018
68,1,City Tax,City Tax,1,7.47,0,01/10/2018
70,1,Room revenue,Room Rental Charge,1,152,8.6,04/10/2018
70,2,City Tax,City Tax,1,8.68,0,04/10/2018
71,1,Room revenue,Room Rental Charge,1,139,7.86,06/10/2018
71,2,City Tax,City Tax,1,7.93,0,06/10/2018
73,1,Room revenue,Room Rental Charge,1,139,7.86,06/10/2018
73,2,City Tax,City Tax,1,7.93,0,06/10/2018
73,3,Reservation Upgrades,Early Checkin,1,29,1.64,06/10/2018
73,4,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,07/10/2018
75,1,Room revenue,Room Rental Charge,1,89,5.03,06/10/2018
75,2,City Tax,City Tax,1,3.78,0,06/10/2018
76,1,Room revenue,Room Rental Charge,1,89,5.03,06/10/2018
76,2,City Tax,City Tax,1,3.78,0,06/10/2018
77,1,Room revenue,Room Rental Charge,1,89,5.03,06/10/2018
77,2,City Tax,City Tax,1,3.78,0,06/10/2018
80,1,Room revenue,Room Rental Charge,1,93.6,5.29,03/10/2018
80,2,City Tax,City Tax,1,3.97,0,03/10/2018
81,1,Food & Beverage,Boxer/Tshirt,3,14.25,2.47,01/10/2018
81,2,Food & Beverage,briefs/socks/BH,6,12,2.08,01/10/2018
81,3,City Tax,City Tax,1,3.45,0,01/10/2018
81,4,Food & Beverage,Mango Nojito,1,8.5,1.47,02/10/2018
81,5,Food & Beverage,Passionfruit and sereh sour,1,10,1.73,02/10/2018
81,6,Food & Beverage,Salmon pearl barley risotto,1,19.5,1.1,02/10/2018
81,7,Food & Beverage,Chicken yakitori,1,7.5,0.42,02/10/2018
81,8,Food & Beverage,Charirea Green,1,3.5,0.19,02/10/2018
81,9,City Tax,City Tax,1,3.63,0,02/10/2018
81,10,Food & Beverage,On the day Breakfast Menu,1,16.95,0.95,03/10/2018
81,11,Food & Beverage,Salmon pearl barley risotto,1,19.5,1.1,03/10/2018
81,12,Food & Beverage,Chicken yakitori,1,7.5,0.42,03/10/2018
81,13,City Tax,City Tax,1,4.4,0,03/10/2018
82,1,Room revenue,Room Rental Charge,1,71.1,4.02,05/10/2018
82,2,City Tax,City Tax,1,3.02,0,05/10/2018
82,3,Room revenue,Room Rental Charge,1,80.1,4.53,06/10/2018
82,4,City Tax,City Tax,1,3.4,0,06/10/2018
84,1,Room revenue,Room Rental Charge,1,79,4.47,05/10/2018
84,2,City Tax,City Tax,1,3.35,0,05/10/2018
84,3,Room revenue,Room Rental Charge,1,94,5.32,06/10/2018
84,4,City Tax,City Tax,1,3.99,0,06/10/2018
85,1,Room revenue,Room Rental Charge,1,190,10.75,02/10/2018
85,2,City Tax,City Tax,1,10.84,0,02/10/2018
87,1,Room revenue,Room Rental Charge,1,66.6,3.76,05/10/2018
87,2,City Tax,City Tax,1,2.83,0,05/10/2018
88,1,Food & Beverage,Mgroni,1,10,1.73,07/10/2018
88,2,Food & Beverage,Indian V2C s,1,10,1.73,07/10/2018
88,3,Room revenue,Room Rental Charge,1,71.1,4.02,07/10/2018
88,4,City Tax,City Tax,1,3.02,0,07/10/2018
